client_id,dataset_index,label,ground_truth_poison,patch_mse,predicted_poison
14,28285,9,1,0.0,1
14,41078,8,0,11.984711823640046,0
14,49094,6,0,6.376545093677662,0
14,27424,3,1,0.0,1
14,3231,1,0,7.46995374891493,0
14,21418,1,0,9.745915165653935,0
14,18810,1,1,0.0,1
14,23675,7,0,7.354404025607639,0
14,27329,6,0,11.186655680338541,0
14,19679,9,1,0.0,1
14,23716,2,1,0.0,1
14,14226,4,0,6.672347457320602,0
14,39899,0,0,6.122568201135706,0
14,3030,4,0,8.403423733181423,0
14,15339,4,0,7.177010430230035,0
14,29380,0,1,0.0,1
14,33305,1,1,0.0,1
14,41729,7,1,0.0,1
14,47041,7,0,10.457113760489005,0
14,5911,8,1,0.0,1
14,9603,2,1,0.0,1
14,11954,1,0,11.627091019241899,0
14,24474,9,0,11.695768003110532,0
14,4230,1,0,6.890801323784722,0
14,14689,0,0,8.152721263744214,0
14,21134,8,0,5.767574734157986,0
14,25846,4,1,0.0,1
14,28454,6,1,0.0,1
14,29704,0,1,0.0,1
14,26631,4,0,6.465145534939236,0
14,10204,2,0,6.307283189561632,0
14,41966,1,1,0.0,1
14,34381,0,0,5.687180130570023,0
14,17338,4,1,0.0,1
14,1075,9,0,6.039313422309028,0
14,48869,0,0,5.809974387839988,0
14,2811,4,1,0.0,1
14,47320,0,0,5.678019205729167,0
14,45953,2,1,0.0,1
14,41030,0,1,0.0,1
14,22108,1,0,5.579831723813657,0
14,49804,6,1,0.0,1
14,12986,9,1,0.0,1
14,21645,9,0,8.323309439199942,0
14,27465,1,0,8.994225396050346,0
14,16551,9,0,7.678415369104456,0
14,23545,4,1,0.0,1
14,34052,1,0,6.949873747649016,0
14,17268,1,0,9.219085128219039,0
14,12158,1,1,0.0,1
14,13646,4,1,0.0,1
14,46663,4,1,0.0,1
14,3416,2,0,8.396006266276041,0
14,31074,2,1,0.0,1
14,36838,1,0,7.460267243561922,0
14,16415,2,0,10.508001256872106,0
14,11478,2,0,11.065500895182291,0
14,44450,4,0,12.743332474320024,0
14,14099,9,0,7.45846105504919,0
14,12640,0,1,0.0,1
14,42710,1,1,0.0,1
14,15038,6,0,5.842854252567998,0
