client_id,dataset_index,label,patch_mse
0,34471,8,5.814585208892822
0,3258,8,8.259699821472168
0,21050,8,9.105587005615234
0,41867,8,6.771129608154297
0,39802,8,6.194998741149902
0,33014,8,6.784499645233154
0,24759,8,5.5464911460876465
0,39119,8,8.166443824768066
0,29708,8,5.772830963134766
0,47978,8,6.237468719482422
0,17799,8,11.744661331176758
0,41292,8,8.06360912322998
0,11005,8,6.66018009185791
0,23073,8,8.259869575500488
0,11042,8,8.829039573669434
0,7610,8,6.630576133728027
0,20405,8,6.482001304626465
0,43713,8,6.141852378845215
0,49389,8,6.081405162811279
0,11674,8,6.029781818389893
0,25327,8,6.506838321685791
0,8005,8,6.180598735809326
0,5904,8,6.382683753967285
0,26988,8,5.236346244812012
0,38809,8,6.301703929901123
0,46152,8,5.941704273223877
0,8111,8,6.829640865325928
0,29407,8,6.326364517211914
0,35586,8,6.094394207000732
0,25790,8,11.506507873535156
0,16620,8,7.313760280609131
0,45717,8,5.712673664093018
0,39154,8,7.307699680328369
0,36390,8,5.673800468444824
0,42701,8,5.828704833984375
0,21175,8,10.492454528808594
0,4923,8,6.741969585418701
0,45354,8,5.815057277679443
0,1174,8,6.188244342803955
0,7496,8,6.549524784088135
0,32577,8,6.852046966552734
0,155,8,6.033050060272217
0,40435,8,7.182729244232178
0,27370,8,5.424905300140381
0,19851,8,6.925860404968262
0,26580,8,5.898043632507324
0,4974,8,5.705559730529785
0,15504,8,5.445634841918945
0,46758,8,5.694043159484863
0,18118,8,7.9196624755859375
0,19374,8,6.303905963897705
0,11265,8,5.655056476593018
0,44728,8,7.371524333953857
0,36783,8,7.31669807434082
0,7334,8,5.472435474395752
0,6501,8,14.264074325561523
0,26170,8,7.202559471130371
0,41612,8,5.777324676513672
0,40124,8,7.476652145385742
0,8715,8,7.830255031585693
0,24578,8,5.596395969390869
0,45626,8,9.28590202331543
0,23736,8,6.106262683868408
0,9960,8,7.77370023727417
0,45162,8,5.695914268493652
0,27337,8,5.880722522735596
0,44527,8,9.090331077575684
0,16479,8,7.142313003540039
0,49501,8,6.245883464813232
0,45159,8,5.786081790924072
0,48311,8,6.675558090209961
0,23509,8,6.272993087768555
0,36571,8,8.411742210388184
0,7376,8,5.743005752563477
0,48965,8,6.870514392852783
0,31644,8,7.463408470153809
0,25902,8,9.750473976135254
0,47476,8,7.972296237945557
0,19696,8,9.297961235046387
0,23693,8,7.059234619140625
0,14846,8,5.558188438415527
0,15334,8,6.019330024719238
0,15049,8,6.765580177307129
0,2663,8,6.409738540649414
0,21165,8,8.260115623474121
0,39114,8,5.425925254821777
0,5482,8,7.330660343170166
0,7222,8,5.56470251083374
0,10346,8,6.009844779968262
0,11986,8,7.371805667877197
0,3115,8,8.131661415100098
0,6474,8,7.591984272003174
0,44534,8,8.651658058166504
0,32089,8,12.768856048583984
0,42926,8,5.59336519241333
0,22496,8,5.668478488922119
0,42730,8,10.049522399902344
0,19141,8,5.805535793304443
0,17519,8,6.4404072761535645
0,48469,8,5.600033283233643
0,34369,8,6.754146575927734
0,47776,8,5.643310070037842
0,22471,8,5.684299468994141
0,36953,8,9.183899879455566
0,40389,8,7.156351566314697
0,29674,8,5.928436279296875
0,6717,8,8.259699821472168
0,26487,8,6.250578880310059
0,9192,8,7.217314720153809
0,39895,8,11.750091552734375
0,48281,8,6.158769607543945
0,27561,8,5.55571985244751
0,15422,8,5.132977485656738
0,19748,8,8.481419563293457
0,1323,8,5.647800922393799
0,21943,8,6.872784614562988
0,9351,8,6.797982692718506
0,17962,8,6.335650444030762
0,30762,8,9.305537223815918
0,13672,8,5.839319229125977
0,27310,8,9.290630340576172
0,34977,8,6.910980224609375
0,4916,8,7.123269557952881
0,11627,8,6.304515838623047
0,17820,8,6.076605796813965
0,3625,8,7.77455997467041
0,47350,8,5.651689529418945
0,43895,8,7.773953914642334
0,49400,8,6.592313766479492
0,5910,8,5.656249523162842
0,2172,8,6.032449245452881
0,9922,8,7.059062957763672
0,15260,8,5.801886558532715
0,49764,8,7.501261234283447
0,47531,8,5.741393566131592
0,9555,8,7.032098770141602
0,32086,8,9.686445236206055
0,7366,8,7.758250713348389
0,30550,8,8.454329490661621
0,9265,8,5.741277694702148
0,2918,8,6.477579593658447
0,49696,8,7.747330665588379
0,1749,8,6.976733207702637
0,15780,8,8.170382499694824
0,14922,8,8.09557056427002
0,9861,8,10.170641899108887
0,39317,8,6.138767719268799
0,17125,8,11.996832847595215
0,4852,8,6.520306587219238
0,1821,8,5.606069564819336
0,44880,8,6.244494915008545
0,34894,8,5.783150672912598
0,8168,8,5.746731758117676
0,21164,8,7.051070690155029
0,5600,8,5.859273910522461
0,18055,8,6.908443927764893
0,5752,8,6.081326961517334
0,24554,8,7.500836372375488
0,28985,8,6.4687981605529785
0,35719,8,5.705273628234863
0,14565,8,5.825967311859131
0,41240,8,8.929051399230957
0,38453,8,5.757063865661621
0,3159,8,7.4873127937316895
0,48990,8,6.93448543548584
0,8120,8,6.387832164764404
0,16159,8,5.794431209564209
0,21169,8,4.892892360687256
0,29734,8,5.6677021980285645
0,38689,8,6.742985248565674
0,46985,8,5.92530632019043
0,13591,8,7.1188788414001465
0,16509,8,5.535552501678467
0,4713,8,5.808427810668945
0,12646,8,7.495474338531494
0,12935,8,5.645468235015869
0,28153,8,7.219133377075195
0,43383,8,5.728420734405518
0,20419,8,5.992228031158447
0,9366,8,7.992166519165039
0,49007,8,5.980860233306885
0,36341,8,8.125579833984375
0,14010,8,6.581601619720459
0,1092,8,5.856857776641846
0,38779,8,6.896516799926758
0,33446,8,7.098011493682861
0,46937,8,6.454983234405518
0,41674,8,8.526569366455078
0,25450,8,6.223038196563721
0,29647,8,10.614872932434082
0,31903,8,7.849663257598877
0,20459,8,9.562335014343262
0,12266,8,9.609861373901367
0,46223,8,6.964023590087891
0,1032,8,6.87883186340332
0,37692,8,7.0419769287109375
0,6346,8,5.819433212280273
0,27640,8,16.28356170654297
0,3642,8,6.404110908508301
0,44882,8,5.604724884033203
0,22948,8,5.671813011169434
0,10677,8,7.477757930755615
0,19530,8,8.090675354003906
0,39462,8,5.81224250793457
0,29239,8,7.70595121383667
0,49976,8,8.45614242553711
0,23534,8,6.279206275939941
0,29766,8,10.923762321472168
0,48500,8,6.054900169372559
0,10483,8,6.075067520141602
0,25336,8,9.038786888122559
0,31841,8,6.669734477996826
0,33946,8,5.6695170402526855
0,6514,8,5.831176280975342
0,190,8,6.24674129486084
0,48838,8,6.133152008056641
0,15629,8,6.110312461853027
0,27507,8,7.027780532836914
0,12834,8,5.861874103546143
0,19464,8,7.7911810874938965
0,18171,8,9.878808975219727
0,36798,8,6.938261985778809
0,31250,8,7.838503837585449
0,46821,8,5.977094650268555
0,2577,8,8.195301055908203
0,32819,8,7.397604942321777
0,46751,8,5.620266437530518
0,34295,8,6.036427021026611
0,3764,8,5.867953300476074
0,13322,8,5.931024074554443
0,36628,8,5.837671756744385
