client_id,dataset_index,original_label,ground_truth_status,predicted_status,predicted_class,backdoor_score,is_correct
0,34471,8,clean,clean,8,0.06175779923796654,1
0,3258,8,clean,clean,8,0.06377100199460983,1
0,21050,8,clean,clean,2,0.07059501111507416,1
0,41867,8,clean,clean,8,0.061536625027656555,1
0,39802,8,clean,clean,8,0.06286478787660599,1
0,33014,8,clean,clean,8,0.06152527406811714,1
0,24759,8,clean,clean,8,0.061009593307971954,1
0,39119,8,clean,clean,8,0.06197815760970116,1
0,29708,8,clean,clean,8,0.0624234713613987,1
0,47978,8,clean,clean,8,0.059682395309209824,1
0,17799,8,clean,clean,8,0.06096341460943222,1
0,41292,8,clean,clean,8,0.08171325922012329,1
0,11005,8,clean,clean,8,0.0594172328710556,1
0,23073,8,clean,clean,8,0.08062763512134552,1
0,11042,8,clean,clean,8,0.07140793651342392,1
0,7610,8,clean,clean,8,0.05782682076096535,1
0,20405,8,clean,clean,1,0.07807448506355286,1
0,43713,8,clean,clean,8,0.06247017905116081,1
0,49389,8,clean,clean,8,0.062292490154504776,1
0,11674,8,clean,clean,8,0.061436109244823456,1
0,25327,8,clean,clean,8,0.061002276837825775,1
0,8005,8,clean,clean,8,0.06552863121032715,1
0,5904,8,clean,clean,8,0.0633656457066536,1
0,26988,8,clean,clean,8,0.0605219230055809,1
0,38809,8,clean,clean,8,0.0671185627579689,1
0,46152,8,clean,clean,8,0.06110246479511261,1
0,8111,8,clean,clean,8,0.06097845360636711,1
0,29407,8,clean,clean,8,0.06184845790266991,1
0,35586,8,clean,clean,8,0.06019702926278114,1
0,25790,8,clean,clean,8,0.059970349073410034,1
0,16620,8,clean,clean,8,0.06641550362110138,1
0,45717,8,clean,clean,8,0.06304024904966354,1
0,39154,8,clean,clean,8,0.05996738374233246,1
0,36390,8,clean,clean,8,0.06312510371208191,1
0,42701,8,clean,clean,2,0.06623285263776779,1
0,21175,8,clean,clean,8,0.06698673963546753,1
0,4923,8,clean,clean,8,0.06097617372870445,1
0,45354,8,clean,clean,8,0.059223875403404236,1
