dataset_index,label,pred_label,nearest_label,confidence,pred_centroid_dist,true_centroid_dist,nearest_centroid_dist,prob_margin,score,ground_truth_poison,predicted_poison
1,9,9,9,0.5604901313781738,4.022815704345703,4.022815704345703,4.022815704345703,0.23253390192985535,4.462325572967529,0,0
3,4,4,4,0.9653747081756592,6.5879621505737305,6.5879621505737305,6.5879621505737305,0.9368005394935608,6.622587442398071,0,0
4,1,1,1,0.9999558925628662,7.7588725090026855,7.7588725090026855,7.7588725090026855,0.999935507774353,7.758916616439819,1,0
5,1,1,1,0.991591215133667,3.619553327560425,3.619553327560425,3.619553327560425,0.9883542060852051,3.627962112426758,0,0
6,2,2,2,0.9009299278259277,4.8997721672058105,4.8997721672058105,4.8997721672058105,0.8635960817337036,4.998842239379883,0,0
18,2,2,2,0.6449910402297974,4.152491569519043,4.152491569519043,4.152491569519043,0.5344787836074829,4.507500529289246,1,0
19,6,3,3,0.36605560779571533,5.572860240936279,7.340996742248535,5.572860240936279,0.18077117204666138,6.206804633140564,0,0
23,6,6,6,0.8257514238357544,4.002004146575928,4.002004146575928,4.002004146575928,0.7342177629470825,4.176252722740173,1,0
28,4,4,7,0.9155225157737732,8.341193199157715,8.341193199157715,7.664292335510254,0.8313913345336914,8.425670683383942,1,0
31,9,9,9,0.7264559864997864,4.124699592590332,4.124699592590332,4.124699592590332,0.629871129989624,4.398243606090546,0,0
32,1,1,1,0.9898818135261536,2.6976468563079834,2.6976468563079834,2.6976468563079834,0.9837558269500732,2.70776504278183,1,0
33,3,3,3,0.8071019053459167,4.037099361419678,4.037099361419678,4.037099361419678,0.6990050673484802,4.229997456073761,0,0
34,4,4,4,0.7611619830131531,5.0943169593811035,5.0943169593811035,5.0943169593811035,0.5486851930618286,5.33315497636795,1,0
35,0,7,0,0.3615737557411194,5.579946517944336,5.5704426765441895,5.5704426765441895,0.13100430369377136,6.2183727622032166,0,0
37,7,7,7,0.9163545966148376,4.142739772796631,4.142739772796631,4.142739772796631,0.8691575527191162,4.226385176181793,0,0
44,1,1,1,0.8546951413154602,5.68256950378418,5.68256950378418,5.68256950378418,0.7857347726821899,5.8278743624687195,1,0
45,1,1,1,0.9931487441062927,3.6691436767578125,3.6691436767578125,3.6691436767578125,0.9914605021476746,3.6759949326515198,1,0
49,0,0,0,0.9604841470718384,5.7620530128479,5.7620530128479,5.7620530128479,0.9446972012519836,5.801568865776062,0,0
50,9,0,9,0.40712305903434753,7.166594982147217,6.607292652130127,6.607292652130127,0.13082042336463928,7.759471923112869,1,0
53,9,1,1,0.5022044777870178,5.1927876472473145,5.56066370010376,5.1927876472473145,0.07148963212966919,5.690583169460297,0,0
54,2,2,2,0.9978152513504028,4.882835388183594,4.882835388183594,4.882835388183594,0.9967402815818787,4.885020136833191,0,0
55,2,2,4,0.6505287885665894,4.678278923034668,4.678278923034668,4.337161064147949,0.5377984642982483,5.027750134468079,0,0
57,2,2,2,0.971696674823761,2.040104389190674,2.040104389190674,2.040104389190674,0.9633715152740479,2.068407714366913,0,0
58,4,2,4,0.838803231716156,6.0232625007629395,5.778957366943359,5.778957366943359,0.737647533416748,6.1844592690467834,0,0
61,1,1,1,0.9999440908432007,7.568915367126465,7.568915367126465,7.568915367126465,0.9998916387557983,7.568971276283264,0,0
64,1,1,1,0.9919227957725525,3.391597032546997,3.391597032546997,3.391597032546997,0.986670970916748,3.3996742367744446,0,0
72,6,6,6,0.6397402882575989,5.946686744689941,5.946686744689941,5.946686744689941,0.402339905500412,6.3069464564323425,0,0
75,1,1,1,0.88947993516922,4.612194538116455,4.612194538116455,4.612194538116455,0.8336926698684692,4.722714602947235,0,0
77,0,0,0,0.5148911476135254,4.267926216125488,4.267926216125488,4.267926216125488,0.30557048320770264,4.753035068511963,1,0
88,9,1,9,0.8730392456054688,5.956978797912598,4.160991668701172,4.160991668701172,0.7931659817695618,6.083939552307129,0,0
89,4,2,4,0.5595692992210388,6.250069618225098,5.387835502624512,5.387835502624512,0.20103618502616882,6.690500319004059,0,0
96,1,8,8,0.6208512187004089,4.952103614807129,6.59879732131958,4.952103614807129,0.35429811477661133,5.33125239610672,0,0
99,1,1,1,0.9913723468780518,4.441309928894043,4.441309928894043,4.441309928894043,0.9875639081001282,4.449937582015991,0,0
100,8,8,8,0.6381034851074219,4.698707103729248,4.698707103729248,4.698707103729248,0.367253839969635,5.060603618621826,1,0
101,3,3,3,0.5776333212852478,4.548614025115967,4.548614025115967,4.548614025115967,0.2901255190372467,4.970980703830719,0,0
102,9,1,9,0.723295271396637,5.235838890075684,3.676020860671997,3.676020860671997,0.643009603023529,5.512543618679047,1,0
103,6,8,3,0.2809160649776459,8.44656753540039,7.202592849731445,6.409235000610352,0.010755211114883423,9.165651470422745,0,1
105,1,1,1,0.9999886751174927,9.15467357635498,9.15467357635498,9.15467357635498,0.9999822974205017,9.154684901237488,0,1
109,9,1,9,0.4008895754814148,6.620349407196045,4.803142070770264,4.803142070770264,0.028158217668533325,7.21945983171463,1,0
110,9,1,1,0.9901195764541626,3.1691222190856934,6.135754108428955,3.1691222190856934,0.9856165647506714,3.1790026426315308,1,0
111,8,8,0,0.4815082848072052,4.380731582641602,4.380731582641602,3.56257700920105,0.08540573716163635,4.899223297834396,1,0
112,1,1,1,0.9975345134735107,2.942518711090088,2.942518711090088,2.942518711090088,0.9964680671691895,2.944984197616577,1,0
113,7,7,0,0.31097856163978577,6.335499286651611,6.335499286651611,5.947936058044434,0.03157871961593628,7.024520725011826,0,0
116,0,8,8,0.7179722189903259,4.42945671081543,5.035435199737549,4.42945671081543,0.45953378081321716,4.711484491825104,0,0
117,6,6,6,0.919374942779541,4.899991512298584,4.899991512298584,4.899991512298584,0.8630934357643127,4.980616569519043,1,0
124,6,6,6,0.8454761505126953,2.8801753520965576,2.8801753520965576,2.8801753520965576,0.7815536260604858,3.0346992015838623,1,0
126,1,1,1,0.9974809288978577,6.244416236877441,6.244416236877441,6.244416236877441,0.9951016902923584,6.246935307979584,1,0
132,6,2,6,0.4707467257976532,4.733523845672607,3.419062376022339,3.419062376022339,0.06755849719047546,5.262777119874954,0,0
134,1,1,1,0.9867466688156128,4.1929802894592285,4.1929802894592285,4.1929802894592285,0.9796745777130127,4.206233620643616,1,0
137,1,1,1,0.9996433258056641,7.370452880859375,7.370452880859375,7.370452880859375,0.9994012713432312,7.370809555053711,1,0
138,2,2,2,0.6414357423782349,5.537148475646973,5.537148475646973,5.537148475646973,0.47794437408447266,5.895712733268738,0,0
140,1,0,0,0.7706325650215149,4.087261199951172,6.9283833503723145,4.087261199951172,0.6523510217666626,4.316628634929657,1,0
142,3,2,3,0.32078805565834045,5.089901447296143,4.6452789306640625,4.6452789306640625,0.10527576506137848,5.769113391637802,0,0
145,4,4,4,0.6829178333282471,3.7655529975891113,3.7655529975891113,3.7655529975891113,0.5455418229103088,4.082635164260864,1,0
146,9,4,6,0.2721085548400879,5.760555267333984,6.760727882385254,5.5855584144592285,0.07758845388889313,6.4884467124938965,0,0
147,9,0,0,0.522039532661438,4.835662841796875,5.575495719909668,4.835662841796875,0.15619608759880066,5.313623309135437,0,0
153,4,4,4,0.9109553694725037,3.4176652431488037,3.4176652431488037,3.4176652431488037,0.842890202999115,3.5067098736763,1,0
154,6,4,4,0.7411007881164551,5.153275012969971,5.919021129608154,5.153275012969971,0.6697218418121338,5.412174224853516,1,0
158,4,4,7,0.7122033834457397,6.319676399230957,6.319676399230957,5.606662273406982,0.4954436123371124,6.607473015785217,0,0
160,1,1,1,0.9997490048408508,5.528627395629883,5.528627395629883,5.528627395629883,0.9995993971824646,5.528878390789032,0,0
162,4,7,4,0.45408713817596436,5.628190517425537,5.348412990570068,5.348412990570068,0.04715964198112488,6.174103379249573,0,0
163,7,7,7,0.9256955981254578,4.554094314575195,4.554094314575195,4.554094314575195,0.854977011680603,4.6283987164497375,0,0
165,0,0,0,0.9612345099449158,4.351646423339844,4.351646423339844,4.351646423339844,0.9339042901992798,4.390411913394928,1,0
