dataset_index,label,pred_label,nearest_label,confidence,pred_centroid_dist,true_centroid_dist,nearest_centroid_dist,prob_margin
2,9,0,0,0.5905012488365173,5.0364909172058105,5.405779838562012,5.0364909172058105,0.44630929827690125
21,3,5,3,0.47682908177375793,8.693857192993164,7.842863082885742,7.842863082885742,0.0768563449382782
26,3,3,3,0.8508469462394714,3.7389159202575684,3.7389159202575684,3.7389159202575684,0.7438450455665588
40,5,5,5,0.9516118764877319,2.522472858428955,2.522472858428955,2.522472858428955,0.9298933148384094
43,7,7,7,0.9957444071769714,4.2448625564575195,4.2448625564575195,4.2448625564575195,0.9926424026489258
48,2,2,7,0.7251729965209961,7.558676719665527,7.558676719665527,6.762494087219238,0.5833619236946106
56,5,5,3,0.5462701916694641,4.044323444366455,4.044323444366455,3.578958511352539,0.3182246685028076
59,3,3,3,0.4937838315963745,5.120633602142334,5.120633602142334,5.120633602142334,0.06250736117362976
82,4,4,4,0.863844096660614,4.094985485076904,4.094985485076904,4.094985485076904,0.8089652061462402
93,0,0,0,0.9679206013679504,5.091240406036377,5.091240406036377,5.091240406036377,0.9520971775054932
104,6,6,6,0.7011475563049316,4.320347785949707,4.320347785949707,4.320347785949707,0.627950131893158
122,9,9,9,0.5799034833908081,3.7800352573394775,3.7800352573394775,3.7800352573394775,0.23096215724945068
128,5,5,5,0.7293964624404907,3.5315136909484863,3.5315136909484863,3.5315136909484863,0.4814189076423645
129,0,0,0,0.7508988380432129,3.44180965423584,3.44180965423584,3.44180965423584,0.5349151492118835
144,2,2,2,0.999292254447937,7.64231014251709,7.64231014251709,7.64231014251709,0.9989525079727173
192,8,8,8,0.9797239303588867,3.3740527629852295,3.3740527629852295,3.3740527629852295,0.9609586596488953
200,6,6,6,0.9140351414680481,2.9998691082000732,2.9998691082000732,2.9998691082000732,0.8775840401649475
257,1,1,1,0.8491851091384888,5.26994514465332,5.26994514465332,5.26994514465332,0.7334187030792236
276,0,0,0,0.8351119160652161,3.881683588027954,3.881683588027954,3.881683588027954,0.7648590803146362
285,5,5,3,0.6252603530883789,6.350677967071533,6.350677967071533,5.779703617095947,0.4199237823486328
286,6,2,6,0.4596635103225708,6.723598480224609,4.504305362701416,4.504305362701416,0.014170914888381958
290,8,8,8,0.9755563139915466,3.14740252494812,3.14740252494812,3.14740252494812,0.9543962478637695
309,8,8,8,0.9163922667503357,4.8693718910217285,4.8693718910217285,4.8693718910217285,0.8735308051109314
310,4,2,2,0.9502394199371338,4.866940021514893,7.17914342880249,4.866940021514893,0.9299790263175964
314,3,3,3,0.382968932390213,4.454874038696289,4.454874038696289,4.454874038696289,0.0644158124923706
317,0,0,0,0.8774421215057373,3.2257893085479736,3.2257893085479736,3.2257893085479736,0.7891638278961182
324,5,5,5,0.8719772100448608,4.320018291473389,4.320018291473389,4.320018291473389,0.7782333493232727
369,9,1,9,0.7270517945289612,6.727486610412598,4.6907548904418945,4.6907548904418945,0.5168246030807495
379,8,8,8,0.9933856129646301,4.091071128845215,4.091071128845215,4.091071128845215,0.9871127009391785
410,8,8,8,0.8924292325973511,3.525935411453247,3.525935411453247,3.525935411453247,0.8028957843780518
420,4,2,2,0.46057388186454773,7.257110118865967,7.731832027435303,7.257110118865967,0.16359132528305054
460,8,8,8,0.9239791631698608,5.540194511413574,5.540194511413574,5.540194511413574,0.8498904705047607
462,5,5,5,0.9279197454452515,6.686112403869629,6.686112403869629,6.686112403869629,0.8706780672073364
479,3,3,3,0.5355422496795654,5.77623987197876,5.77623987197876,5.77623987197876,0.31430888175964355
510,2,2,2,0.9233558177947998,4.073590278625488,4.073590278625488,4.073590278625488,0.8881739377975464
519,8,8,3,0.5215145349502563,6.1163010597229,6.1163010597229,5.965863227844238,0.3307648003101349
540,2,2,2,0.9978578686714172,5.421098232269287,5.421098232269287,5.421098232269287,0.9971441030502319
554,8,8,8,0.8910925388336182,4.140591621398926,4.140591621398926,4.140591621398926,0.8131684064865112
556,6,8,6,0.28966695070266724,8.51453971862793,6.224067687988281,6.224067687988281,0.03892156481742859
561,1,1,9,0.6857285499572754,6.4285969734191895,6.4285969734191895,4.837932586669922,0.5894938111305237
595,7,7,7,0.9972846508026123,6.9948296546936035,6.9948296546936035,6.9948296546936035,0.9946593642234802
600,0,2,0,0.5110595226287842,7.192300319671631,5.216076850891113,5.216076850891113,0.05418625473976135
603,3,5,3,0.5832801461219788,6.062021732330322,5.809459209442139,5.809459209442139,0.28984788060188293
611,7,3,3,0.7024170160293579,4.144871711730957,9.1254243850708,4.144871711730957,0.5542314648628235
636,7,7,7,0.9417526721954346,4.289283275604248,4.289283275604248,4.289283275604248,0.9196264147758484
638,3,5,3,0.307171493768692,4.968254089355469,3.8410909175872803,3.8410909175872803,0.07115904986858368
658,0,0,0,0.8710134029388428,3.8752312660217285,3.8752312660217285,3.8752312660217285,0.8188214898109436
