dataset_index,label,pred_label,nearest_label,confidence,pred_centroid_dist,true_centroid_dist,nearest_centroid_dist,prob_margin,score,ground_truth_poison,predicted_poison
1,9,9,9,0.5978964567184448,3.909240961074829,3.909240961074829,3.909240961074829,0.322645366191864,4.311344504356384,0,0
3,4,4,4,0.9715867638587952,6.0440473556518555,6.0440473556518555,6.0440473556518555,0.9518747925758362,6.07246059179306,0,0
4,1,1,1,0.9999260902404785,7.370182037353516,7.370182037353516,7.370182037353516,0.9998876452445984,7.370255947113037,1,0
5,1,1,1,0.9943498969078064,3.1916022300720215,3.1916022300720215,3.1916022300720215,0.9915748238563538,3.197252333164215,0,0
6,2,2,2,0.902076005935669,4.984661102294922,4.984661102294922,4.984661102294922,0.866497278213501,5.082585096359253,0,0
18,2,2,2,0.7605708837509155,3.9943482875823975,3.9943482875823975,3.9943482875823975,0.6612205505371094,4.233777403831482,1,0
19,6,3,3,0.3320947289466858,5.457333087921143,7.2505598068237305,5.457333087921143,0.04290097951889038,6.125238358974457,0,0
23,6,6,6,0.7250552177429199,4.096526145935059,4.096526145935059,4.096526145935059,0.5737683773040771,4.371470928192139,1,0
28,4,4,7,0.8923465609550476,8.218080520629883,8.218080520629883,7.464723587036133,0.7850626111030579,8.325733959674835,1,0
31,9,9,9,0.5609917044639587,3.9838321208953857,3.9838321208953857,3.9838321208953857,0.4422571063041687,4.422840416431427,0,0
32,1,1,1,0.984158992767334,2.7056779861450195,2.7056779861450195,2.7056779861450195,0.975000262260437,2.7215189933776855,1,0
33,3,3,3,0.7383890151977539,4.251467227935791,4.251467227935791,4.251467227935791,0.6143119931221008,4.513078212738037,0,0
34,4,4,4,0.6668935418128967,4.718662738800049,4.718662738800049,4.718662738800049,0.35472702980041504,5.051769196987152,1,0
35,0,7,7,0.4317619502544403,5.324608325958252,5.840423107147217,5.324608325958252,0.1485414206981659,5.892846375703812,0,0
37,7,7,7,0.9323676824569702,4.274922847747803,4.274922847747803,4.274922847747803,0.9005882143974304,4.3425551652908325,0,0
44,1,1,1,0.9095979332923889,5.273894786834717,5.273894786834717,5.273894786834717,0.8770003318786621,5.364296853542328,1,0
45,1,1,1,0.991569459438324,3.523385524749756,3.523385524749756,3.523385524749756,0.9890487790107727,3.531816065311432,1,0
49,0,0,0,0.9342004656791687,5.6816725730896,5.6816725730896,5.6816725730896,0.9008830189704895,5.747472107410431,0,0
50,9,0,9,0.36312374472618103,7.1954145431518555,6.155569553375244,6.155569553375244,0.06536659598350525,7.832290798425674,1,0
53,9,1,1,0.5982000827789307,4.742115020751953,5.237111568450928,4.742115020751953,0.249770849943161,5.1439149379730225,0,0
54,2,2,2,0.9971820116043091,4.549911975860596,4.549911975860596,4.549911975860596,0.9957405924797058,4.552729964256287,0,0
55,2,2,4,0.7598989605903625,4.913173675537109,4.913173675537109,4.6681928634643555,0.6728349924087524,5.153274714946747,0,0
57,2,2,2,0.9662461280822754,1.814775824546814,1.814775824546814,1.814775824546814,0.9532337784767151,1.8485296964645386,0,0
58,4,2,4,0.8153217434883118,6.084700107574463,5.663317680358887,5.663317680358887,0.6701302528381348,6.269378364086151,0,0
61,1,1,1,0.9999337196350098,7.2956953048706055,7.2956953048706055,7.2956953048706055,0.9998728632926941,7.295761585235596,0,0
64,1,1,1,0.9926404356956482,3.0018482208251953,3.0018482208251953,3.0018482208251953,0.9881832599639893,3.009207785129547,0,0
72,6,6,6,0.7001319527626038,5.252500534057617,5.252500534057617,5.252500534057617,0.5308805704116821,5.552368581295013,0,0
75,1,1,1,0.8788191080093384,4.698634147644043,4.698634147644043,4.698634147644043,0.8224115371704102,4.819815039634705,0,0
77,0,0,0,0.4562869668006897,4.30039119720459,4.30039119720459,4.30039119720459,0.18240106105804443,4.8441042304039,1,0
88,9,1,9,0.6930692195892334,6.4966139793396,4.205810546875,4.205810546875,0.5086041688919067,6.803544759750366,0,0
89,4,2,4,0.6705658435821533,5.9566497802734375,5.17570161819458,5.17570161819458,0.39811235666275024,6.286083936691284,0,0
96,1,8,8,0.6125181317329407,4.849911212921143,6.766428470611572,4.849911212921143,0.4126152992248535,5.237393081188202,0,0
99,1,1,1,0.9923047423362732,4.3937811851501465,4.3937811851501465,4.3937811851501465,0.9898186922073364,4.401476442813873,0,0
100,8,8,8,0.6016003489494324,4.791821002960205,4.791821002960205,4.791821002960205,0.38774508237838745,5.190220654010773,1,0
101,3,3,3,0.49263879656791687,4.403208255767822,4.403208255767822,4.403208255767822,0.07095527648925781,4.910569459199905,0,0
102,9,1,9,0.661058247089386,5.098935127258301,3.714369297027588,3.714369297027588,0.5295737385749817,5.437876880168915,1,0
103,6,8,3,0.2725594937801361,8.428995132446289,6.945664882659912,6.368889808654785,0.12132763862609863,9.156435638666153,0,1
105,1,1,1,0.9999738931655884,8.460978507995605,8.460978507995605,8.460978507995605,0.9999582171440125,8.461004614830017,0,0
