client_id,dataset_index,label,ground_truth_poison,patch_mse,predicted_poison
14,28285,9,1,0.0,1
14,41078,8,0,11.984711647033691,0
14,49094,6,0,6.376544952392578,0
14,27424,3,1,0.0,1
14,3231,1,0,7.469953536987305,0
14,21418,1,0,9.745915412902832,0
14,18810,1,1,0.0,1
14,23675,7,0,7.354403972625732,0
14,27329,6,0,11.18665599822998,0
14,19679,9,1,0.0,1
14,23716,2,1,0.0,1
14,14226,4,0,6.672347545623779,0
14,39899,0,0,6.122568130493164,0
14,3030,4,0,8.403423309326172,0
14,15339,4,0,7.1770100593566895,0
14,29380,0,1,0.0,1
14,33305,1,1,0.0,1
14,41729,7,1,0.0,1
14,47041,7,0,10.457114219665527,0
14,5911,8,1,0.0,1
14,9603,2,1,0.0,1
14,11954,1,0,11.627091407775879,0
14,24474,9,0,11.695768356323242,0
14,4230,1,0,6.890801429748535,0
14,14689,0,0,8.152721405029297,0
14,21134,8,0,5.767574787139893,0
14,25846,4,1,0.0,1
14,28454,6,1,0.0,1
14,29704,0,1,0.0,1
14,26631,4,0,6.465145587921143,0
14,10204,2,0,6.307283878326416,0
14,41966,1,1,0.0,1
14,34381,0,0,5.687180042266846,0
14,17338,4,1,0.0,1
14,1075,9,0,6.039313793182373,0
14,48869,0,0,5.809974193572998,0
14,2811,4,1,0.0,1
14,47320,0,0,5.678019046783447,0
14,45953,2,1,0.0,1
14,41030,0,1,0.0,1
14,22108,1,0,5.579831600189209,0
14,49804,6,1,0.0,1
14,12986,9,1,0.0,1
14,21645,9,0,8.323309898376465,0
14,27465,1,0,8.99422550201416,0
14,16551,9,0,7.678415775299072,0
14,23545,4,1,0.0,1
14,34052,1,0,6.949874401092529,0
14,17268,1,0,9.219085693359375,0
14,12158,1,1,0.0,1
14,13646,4,1,0.0,1
14,46663,4,1,0.0,1
14,3416,2,0,8.39600658416748,0
14,31074,2,1,0.0,1
14,36838,1,0,7.460267066955566,0
14,16415,2,0,10.508001327514648,0
14,11478,2,0,11.065499305725098,0
14,44450,4,0,12.743330955505371,0
14,14099,9,0,7.458461761474609,0
14,12640,0,1,0.0,1
14,42710,1,1,0.0,1
14,15038,6,0,5.842854022979736,0
14,14562,9,0,6.550666332244873,0
14,35465,1,1,0.0,1
14,41768,1,0,6.305535793304443,0
14,17467,7,1,0.0,1
14,24084,4,0,5.681066036224365,0
14,46872,0,0,6.123557090759277,0
14,7623,4,1,0.0,1
14,40727,2,0,6.281809329986572,0
14,40984,0,1,0.0,1
14,40052,9,0,6.984989643096924,0
14,22550,6,1,0.0,1
14,21715,7,1,0.0,1
14,25842,1,0,7.728790283203125,0
14,45263,4,1,0.0,1
14,19245,3,1,0.0,1
14,29853,2,0,7.570830345153809,0
14,31089,9,1,0.0,1
14,12149,0,1,0.0,1
14,25543,2,1,0.0,1
14,27017,4,1,0.0,1
14,25874,1,0,14.013285636901855,0
14,44517,4,0,7.450972557067871,0
14,21225,7,0,9.160994529724121,0
14,36005,1,0,8.335999488830566,0
14,39138,0,1,0.0,1
14,41043,4,0,7.769785404205322,0
14,33742,1,0,8.259699821472168,0
14,40023,4,1,0.0,1
14,41811,9,1,0.0,1
14,4690,9,0,6.542446136474609,0
14,9733,2,1,0.0,1
14,33273,4,1,0.0,1
14,31556,0,1,0.0,1
14,42490,1,1,0.0,1
14,26340,6,0,16.025440216064453,0
14,28457,3,1,0.0,1
14,10548,0,1,0.0,1
14,22337,6,1,0.0,1
14,41167,0,1,0.0,1
14,48811,7,1,0.0,1
14,43929,7,0,12.433101654052734,0
14,45600,1,0,5.672894477844238,0
14,36500,1,1,0.0,1
14,30223,9,1,0.0,1
14,27731,1,1,0.0,1
14,46775,9,1,0.0,1
14,11075,1,0,5.210115432739258,1
14,24186,6,1,0.0,1
14,186,9,0,6.748455047607422,0
14,20935,6,0,8.86422061920166,0
14,20559,9,1,0.0,1
14,27437,6,1,0.0,1
14,31820,6,0,5.795867443084717,0
14,9236,0,1,0.0,1
14,25236,0,0,6.171106815338135,0
14,43516,4,1,0.0,1
14,19457,1,0,8.062370300292969,0
14,38134,4,0,9.877423286437988,0
14,44082,0,1,0.0,1
14,15537,4,1,0.0,1
14,29164,6,0,9.02130126953125,0
14,39009,4,0,5.634047985076904,0
14,3236,4,0,5.786743640899658,0
14,22168,2,1,0.0,1
14,32717,9,0,9.348512649536133,0
14,20528,3,1,0.0,1
14,17255,1,0,7.890913009643555,0
14,6160,8,0,6.29677152633667,0
14,27668,9,0,8.92154598236084,0
14,28543,9,1,0.0,1
14,10925,4,0,15.472301483154297,0
14,47228,4,1,0.0,1
14,24145,6,0,14.248779296875,0
14,25039,6,1,0.0,1
14,33993,4,0,9.096879959106445,0
14,3716,6,1,0.0,1
14,23664,9,1,0.0,1
14,41005,4,0,7.993765354156494,0
14,1182,4,1,0.0,1
14,22925,9,1,0.0,1
14,20107,1,0,9.276022911071777,0
14,37014,9,1,0.0,1
14,3626,2,0,7.027167320251465,0
14,15255,0,0,6.767029762268066,0
14,6040,1,0,8.668249130249023,0
14,41655,7,0,8.79775333404541,0
14,7144,0,1,0.0,1
14,13755,1,1,0.0,1
14,27882,4,1,0.0,1
14,3483,1,0,6.1769490242004395,0
14,19729,2,0,6.328825950622559,0
14,15351,6,1,0.0,1
14,46868,6,0,6.288812637329102,0
14,3099,9,1,0.0,1
14,22552,1,0,12.217301368713379,0
14,5468,0,1,0.0,1
14,47215,0,1,0.0,1
14,13148,9,1,0.0,1
14,21382,4,0,7.06292724609375,0
14,22332,6,1,0.0,1
14,5967,2,1,0.0,1
14,12387,2,0,9.969532012939453,0
14,46845,4,0,9.65605640411377,0
14,438,9,0,6.651841163635254,0
14,35477,2,0,7.046444892883301,0
14,9342,4,1,0.0,1
14,17208,6,0,11.566967010498047,0
14,137,1,1,0.0,1
14,31700,0,1,0.0,1
14,5259,4,1,0.0,1
14,21216,6,1,0.0,1
14,4335,9,1,0.0,1
14,47187,9,0,6.8675312995910645,0
14,27702,3,0,8.17428207397461,0
14,43692,2,0,6.6480231285095215,0
14,16413,9,1,0.0,1
14,47290,1,1,0.0,1
14,40927,6,1,0.0,1
14,10658,9,0,7.917520999908447,0
14,29246,0,0,8.094181060791016,0
14,28781,9,1,0.0,1
14,11828,9,0,7.058056831359863,0
14,38794,4,0,6.910885334014893,0
14,986,2,0,6.539673805236816,0
14,40972,1,1,0.0,1
14,42997,3,1,0.0,1
14,9281,0,1,0.0,1
14,14186,4,1,0.0,1
14,15710,1,0,8.634620666503906,0
14,30975,3,1,0.0,1
14,49232,1,1,0.0,1
14,29267,4,1,0.0,1
14,23477,1,0,6.345101356506348,0
14,49820,1,0,6.852504253387451,0
14,42769,4,1,0.0,1
14,48150,9,1,0.0,1
14,48568,9,0,7.2169365882873535,0
14,32679,1,1,0.0,1
14,15877,3,1,0.0,1
14,4290,4,0,6.6422343254089355,0
14,14215,7,0,7.068448066711426,0
14,8823,4,0,8.504942893981934,0
14,13538,9,1,0.0,1
14,32538,0,1,0.0,1
14,25482,6,1,0.0,1
14,21045,9,1,0.0,1
14,30158,0,1,0.0,1
14,29963,1,1,0.0,1
14,26733,7,1,0.0,1
14,18984,4,1,0.0,1
14,8670,9,1,0.0,1
14,2893,6,0,5.3057990074157715,1
14,9992,2,1,0.0,1
14,3696,0,0,8.708869934082031,0
14,37275,6,1,0.0,1
14,7792,0,0,5.7855000495910645,0
14,45418,9,0,6.337853908538818,0
14,36089,6,1,0.0,1
14,48479,3,1,0.0,1
14,4477,0,0,5.689291477203369,0
14,13290,2,1,0.0,1
14,41742,1,0,8.383394241333008,0
14,8271,4,0,6.718496322631836,0
14,17463,7,1,0.0,1
14,39860,9,1,0.0,1
14,10612,2,1,0.0,1
14,32115,9,1,0.0,1
14,12742,2,0,7.627988338470459,0
14,44682,9,1,0.0,1
14,35308,4,1,0.0,1
14,39550,2,1,0.0,1
14,34936,4,1,0.0,1
14,34343,4,1,0.0,1
14,40715,6,0,11.464073181152344,0
14,22482,9,0,6.6927947998046875,0
14,29440,9,0,8.337359428405762,0
14,5169,6,1,0.0,1
14,45837,2,0,5.790333271026611,0
14,4801,4,0,10.722412109375,0
14,16624,0,0,7.191558837890625,0
14,38187,0,0,6.760403156280518,0
14,596,8,0,6.039865016937256,0
14,3393,4,1,0.0,1
14,26384,9,0,6.5852484703063965,0
14,28056,6,0,8.984230041503906,0
14,11033,4,0,5.771503925323486,0
14,9695,4,1,0.0,1
14,9769,6,0,5.643173694610596,0
14,39132,1,0,7.903188705444336,0
14,12611,4,1,0.0,1
14,47474,6,0,8.19485092163086,0
14,323,1,1,0.0,1
14,8236,4,1,0.0,1
14,21621,6,0,11.001794815063477,0
14,45900,6,1,0.0,1
14,17539,1,0,6.032181262969971,0
14,6373,0,1,0.0,1
14,28759,7,0,7.406887054443359,0
14,19884,0,1,0.0,1
14,28198,7,0,6.766275882720947,0
14,895,3,1,0.0,1
14,35579,9,1,0.0,1
14,37691,4,1,0.0,1
14,4036,8,0,6.8997015953063965,0
14,31204,3,1,0.0,1
14,22479,1,1,0.0,1
14,37630,1,1,0.0,1
14,14535,4,1,0.0,1
14,33213,6,1,0.0,1
14,36245,2,0,8.554749488830566,0
14,27149,2,1,0.0,1
14,43627,4,0,12.848308563232422,0
14,22432,2,0,6.009719371795654,0
14,6085,0,1,0.0,1
14,42395,9,0,7.266234397888184,0
14,46089,2,1,0.0,1
14,9970,3,1,0.0,1
14,25434,4,0,10.113846778869629,0
14,16889,4,0,8.847640037536621,0
14,16503,4,1,0.0,1
14,7352,1,0,10.780632019042969,0
14,15487,4,0,6.037725925445557,0
14,3911,1,0,11.674397468566895,0
14,40757,4,0,12.384401321411133,0
14,33831,0,1,0.0,1
14,27871,1,0,7.405345916748047,0
14,18628,4,0,6.4537835121154785,0
14,45046,4,0,16.27522850036621,0
14,25488,1,1,0.0,1
14,5919,4,1,0.0,1
14,37012,1,1,0.0,1
14,23242,9,1,0.0,1
14,29278,4,0,10.298651695251465,0
14,33713,8,1,0.0,1
14,48533,4,0,9.020310401916504,0
14,24075,1,1,0.0,1
14,30273,8,1,0.0,1
14,3565,3,1,0.0,1
14,46876,0,0,6.295475482940674,0
14,2994,1,1,0.0,1
14,39858,6,1,0.0,1
14,14321,3,0,5.687233924865723,0
14,3441,0,1,0.0,1
14,27710,0,0,6.047204971313477,0
14,28684,9,0,6.714455604553223,0
14,21679,8,0,5.584788799285889,0
14,15596,4,0,6.364478588104248,0
14,3450,7,0,16.249189376831055,0
14,29784,9,0,6.166399955749512,0
14,30551,4,1,0.0,1
14,39476,1,1,0.0,1
14,35776,7,0,7.089251518249512,0
14,12002,9,0,5.593383312225342,0
14,10123,9,1,0.0,1
14,16202,2,0,7.2683796882629395,0
14,29827,4,0,6.503219127655029,0
14,16925,1,0,10.948036193847656,0
14,30724,6,1,0.0,1
14,49062,6,0,6.115353107452393,0
14,9144,2,1,0.0,1
14,4660,4,0,11.051339149475098,0
14,34435,9,1,0.0,1
14,15056,9,1,0.0,1
14,26825,9,0,6.423385143280029,0
14,44011,6,1,0.0,1
14,18931,4,1,0.0,1
14,28834,2,1,0.0,1
14,5800,3,0,11.64859676361084,0
14,4888,2,1,0.0,1
14,32521,6,1,0.0,1
14,28971,4,1,0.0,1
14,17310,6,1,0.0,1
14,45465,9,0,10.354582786560059,0
14,49041,6,0,11.135009765625,0
14,40767,6,1,0.0,1
14,16443,8,1,0.0,1
14,16112,4,0,5.756555557250977,0
14,5059,6,0,9.424833297729492,0
14,8884,1,1,0.0,1
14,41523,4,0,7.322537899017334,0
14,48912,3,1,0.0,1
14,38985,9,1,0.0,1
14,23252,4,0,8.710905075073242,0
14,24605,0,1,0.0,1
14,45144,4,1,0.0,1
14,29488,3,1,0.0,1
14,42442,4,1,0.0,1
14,30312,2,0,7.993288993835449,0
14,3694,0,0,8.220142364501953,0
14,8415,4,1,0.0,1
14,11334,7,1,0.0,1
14,38971,2,1,0.0,1
14,25121,6,0,9.792357444763184,0
14,36666,6,0,11.415934562683105,0
14,24161,1,1,0.0,1
14,47360,2,0,6.923441410064697,0
14,7321,6,0,9.203651428222656,0
14,19380,9,0,5.330148220062256,1
14,4053,4,1,0.0,1
14,33347,0,0,5.659842491149902,0
14,28355,6,1,0.0,1
14,19846,4,0,9.763724327087402,0
14,27872,6,0,6.993175506591797,0
14,23799,8,1,0.0,1
14,35950,6,0,7.963019371032715,0
14,47650,6,0,9.547571182250977,0
14,43184,0,0,6.382700443267822,0
14,22963,4,0,9.189454078674316,0
14,39808,6,1,0.0,1
